,Name,Address,Geocodes
254,"Fisher Moving & Storage, Inc.","5220 Camp Rd, Hamburg, NY 14075, USA","{'lat': 42.74331, 'lng': -78.853483}"
255,Fridley Bus Company Inc,"700 Rolph St, San Francisco, CA 94112, USA","{'lat': 37.7114301, 'lng': -122.4315839}"
256,Pioneer Transportation Corp,"751 Zerega Ave, The Bronx, NY 10473, USA","{'lat': 40.822891, 'lng': -73.8432388}"
257,"Student Transportation of America, Inc.","3349 NJ-138 Ste D, Wall Township, NJ 07719, USA","{'lat': 40.1695759, 'lng': -74.0891247}"
258,"Keller Transportation, Inc.","4472 Gallant Green Rd, Waldorf, MD 20601, USA","{'lat': 38.5886711, 'lng': -76.79320369999999}"
259,Mid-City Transit Corporation,"202 E Commonwealth Ave, Fullerton, CA 92836, USA","{'lat': 33.8701006, 'lng': -117.9217112}"
260,Sheppard Bus Service Inc,"35 Rockville Rd, Bridgeton, NJ 08302, USA","{'lat': 39.38295129999999, 'lng': -75.21566469999999}"
261,"Huskey Bus & Transportation Services, Inc.","2976 US Hwy 61, Festus, MO 63028, USA","{'lat': 38.1602003, 'lng': -90.4575045}"
262,Goffstown Truck Center Inc,"111 Joe Wimberley Blvd, Wimberley, TX 78676, USA","{'lat': 30.0043055, 'lng': -98.1010813}"
263,Hendrickson Bus Corporation,"5th Ave S + 16th St S, St. Petersburg, FL 33705, USA","{'lat': 27.766635, 'lng': -82.655442}"
264,Metropolitan School & Charter Bus Service Inc,"3941 E Calvary Rd, Duluth, MN 55803, USA","{'lat': 46.8559241, 'lng': -92.0944597}"
