,Name,Address,Geocodes
114,Student Trnsp Amer Inc,"10500 Reservoir Rd, Albion, PA 16401, USA","{'lat': 41.885388, 'lng': -80.3503346}"
115,Trojan Transport Inc,"870 E Main St, Spartanburg, SC 29302, USA","{'lat': 34.9594163, 'lng': -81.9079282}"
116,Fullington Auto Bus Company,"6130 Green Acre Rd, Houtzdale, PA 16651, USA","{'lat': 40.829276, 'lng': -78.380082}"
117,First Student,"3742 W 26th St, Chicago, IL 60623, USA","{'lat': 41.8444359, 'lng': -87.7189193}"
118,Fullington Auto Bus,"316 E Cherry St, Evansville, IN 47713, USA","{'lat': 37.9728706, 'lng': -87.55961239999999}"
119,Fullington Trailways,"211 State College Blvd, Anaheim, CA 92806, USA","{'lat': 33.8392553, 'lng': -117.8895808}"
120,Fullington Auto Bus Co. Inc.,"316 E Cherry St, Evansville, IN 47713, USA","{'lat': 37.9728706, 'lng': -87.55961239999999}"
121,Fullington Auto Bus Company,"316 E Cherry St, Evansville, IN 47713, USA","{'lat': 37.9728706, 'lng': -87.55961239999999}"
122,D B Fisher Tours & Travel Agency,"1715 Grace Ave, Lebanon, PA 17046, USA","{'lat': 40.3797238, 'lng': -76.4459538}"
123,D B Fisher Tours & Travel Agcy,"1715 Grace Ave, Lebanon, PA 17046, USA","{'lat': 40.3797208, 'lng': -76.445734}"
124,Larvic LLC,"1857 Spring Rd SE, Smyrna, GA 30080, USA","{'lat': 33.8837528, 'lng': -84.4991663}"
125,First Student Inc,"1950 Crooked Hill Rd, Harrisburg, PA 17110, USA","{'lat': 40.2998381, 'lng': -76.8782666}"
126,Kauffman Bus Svc Inc,"1565 Jerusalem Rd, Hampden Township, PA 17050, USA","{'lat': 40.2707476, 'lng': -76.992961}"
127,Kelly's Transit,"10N S Main St, Akron, OH 44308, USA","{'lat': 41.0715265, 'lng': -81.5257142}"
128,Kelly Transit Inc,"10N S Main St, Akron, OH 44308, USA","{'lat': 41.0715265, 'lng': -81.5257142}"
129,F & S Transportation,"37 S Main St, Watkinsville, GA 30677, USA","{'lat': 33.8567577, 'lng': -83.4075002}"
130,Red Lion Bus Company,"110 E Walnut St, Titusville, PA 16354, USA","{'lat': 41.6297144, 'lng': -79.6726413}"
131,Bill Rohrbaughs Charter Svc,"121 Ruth Ave, Spring Grove, PA 17362, USA","{'lat': 39.87614960000001, 'lng': -76.8713079}"
132,Eschbach Bus Svc,"102 Martic Heights Dr, Holtwood, PA 17532, USA","{'lat': 39.8829082, 'lng': -76.2781878}"
133,Shultz Transportation Company,"8 Beaver Valley Pike, Willow Street, PA 17584, USA","{'lat': 39.98638589999999, 'lng': -76.2797836}"
134,Shultz Transportation Co,"8 Beaver Valley Pike, Willow Street, PA 17584, USA","{'lat': 39.98638589999999, 'lng': -76.2797836}"
135,Raymond E Groff Inc,"1524 Hollywood Ave, The Bronx, NY 10461, USA","{'lat': 40.8429629, 'lng': -73.8273364}"
136,First Student Inc,"3354 W Beersville Rd, Northampton, PA 18067, USA","{'lat': 40.7464823, 'lng': -75.4710803}"
137,First Student Inc,"6261 Sullivan Trail, Nazareth, PA 18064, USA","{'lat': 40.80471600000001, 'lng': -75.289041}"
138,Jennings Transportation Corp,"129 Meyer Rd, Nazareth, PA 18064, USA","{'lat': 40.792913, 'lng': -75.32589}"
139,First Student Inc,"1812 S 12th St, Philadelphia, PA 19148, USA","{'lat': 39.9271801, 'lng': -75.16547109999999}"
140,De Naples Transportation Inc,"400 Mill St, Bristol, PA 19007, USA","{'lat': 40.0961226, 'lng': -74.85953889999999}"
141,Denaples Transportation Inc,"400 Mill St, Bristol, PA 19007, USA","{'lat': 40.0961226, 'lng': -74.85953889999999}"
142,Back Mountain Transit Co Inc,"142 Outlet Rd, Dallas, PA 18612, USA","{'lat': 41.33024289999999, 'lng': -76.0404506}"
143,First Student Inc.,"264 Van Horne St, Jersey City, NJ 07304, USA","{'lat': 40.7136212, 'lng': -74.0614983}"
144,First Student Inc,"264 Van Horne St, Jersey City, NJ 07304, USA","{'lat': 40.7136212, 'lng': -74.0614983}"
145,First Student Inc,"3435 Trewigtown Rd, Colmar, PA 18915, USA","{'lat': 40.2807761, 'lng': -75.25642859999999}"
146,Pace Transportation Inc,"210 Schoolhouse Rd, Albany, NY 12203, USA","{'lat': 42.671584, 'lng': -73.84618999999999}"
147,Transportation Services Inc,"210 Schoolhouse Rd, Albany, NY 12203, USA","{'lat': 42.671584, 'lng': -73.84618999999999}"
148,Durham School Services L P,"3740 E Thompson St, Philadelphia, PA 19137, USA","{'lat': 39.9922293, 'lng': -75.0892527}"
149,"Durham School Services, L. P","3740 E Thompson St, Philadelphia, PA 19137, USA","{'lat': 39.9922293, 'lng': -75.0892527}"
150,Durham School Services,"3740 E Thompson St, Philadelphia, PA 19137, USA","{'lat': 39.9922293, 'lng': -75.0892527}"
151,Durham School Svc,"3740 E Thompson St, Philadelphia, PA 19137, USA","{'lat': 39.9922293, 'lng': -75.0892527}"
152,Yellowbird Bus Co,"3101 Orthodox St #1, Philadelphia, PA 19137, USA","{'lat': 39.9919769, 'lng': -75.0680047}"
