,Name,Address,Geocodes
153,Nelsons Bus Service,"W8608 Willis Ray Rd, Whitewater, WI 53190, USA","{'lat': 42.8174358, 'lng': -88.7235233}"
154,Riteway Bus Svc Inc,"6301 W Mill Rd, Milwaukee, WI 53218, USA","{'lat': 43.1332649, 'lng': -87.9895785}"
155,Joy Farm Transportation Inc,"7007 N 115th St, Milwaukee, WI 53224, USA","{'lat': 43.144824, 'lng': -88.059071}"
156,First Student Inc,"5873 N 55th St, Milwaukee, WI 53218, USA","{'lat': 43.12448970000001, 'lng': -87.9816276}"
157,Lakeside Buses Of Wisconsin,"7300 W Green Tree Rd, Milwaukee, WI 53223, USA","{'lat': 43.141423, 'lng': -88.0028554}"
158,First Student Inc,"513 State Farm Rd, Boone, NC 28607, USA","{'lat': 36.2088681, 'lng': -81.6639062}"
159,Mt Horeb Area Dist Bus Garage,"421 W Garfield St, Burns, OR 97720, USA","{'lat': 43.5728345, 'lng': -119.0592747}"
160,Riteway Bus Service Inc,"117 Sunnyside Dr, Jacksonville, FL 32259, USA","{'lat': 30.0938356, 'lng': -81.5975321}"
161,First Student Inc,"340 Ridge St, Sault Ste. Marie, MI 49783, USA","{'lat': 46.5003814, 'lng': -84.3545833}"
162,Kobussen Buses Ltd,"1500 Forward Dr, Sun Prairie, WI 53590, USA","{'lat': 43.156898, 'lng': -89.237156}"
163,Rite Way Leasing,"4212 Robertson Rd, Madison, WI 53714, USA","{'lat': 43.0942565, 'lng': -89.3109102}"
164,Rite-Way Leasing Co,"4212 Robertson Rd, Madison, WI 53714, USA","{'lat': 43.0942565, 'lng': -89.3109102}"
165,Rite-Way Leasing Co Inc,"4212 Robertson Rd, Madison, WI 53714, USA","{'lat': 43.0942565, 'lng': -89.3109102}"
166,Badger Bus,"5501 Femrite Dr, Madison, WI 53718, USA","{'lat': 43.05081209999999, 'lng': -89.2860606}"
167,Badger Bus Lines Inc,"5501 Femrite Dr, Madison, WI 53718, USA","{'lat': 43.05081209999999, 'lng': -89.2860606}"
168,Badger Bus Lines,"5501 Femrite Dr, Madison, WI 53718, USA","{'lat': 43.05081209999999, 'lng': -89.2860606}"
