,Name,Address,Geocodes
175,Rsu 20 School Bus Garage,"6 Lions Way, North Windham, CT 06256, USA","{'lat': 41.734517, 'lng': -72.1893271}"
176,First Student,"90 Kingsland Ave, Brooklyn, NY 11222, USA","{'lat': 40.7194941, 'lng': -73.9403923}"
177,J & J Transportation,"634 E St Georges Ave, Roselle, NJ 07203, USA","{'lat': 40.6433922, 'lng': -74.257847}"
178,Belair Transport Inc,"641 Tremont Ave, City of Orange, NJ 07050, USA","{'lat': 40.76275690000001, 'lng': -74.2517252}"
179,Belair Transport Inc.,"641 Tremont Ave, City of Orange, NJ 07050, USA","{'lat': 40.76275690000001, 'lng': -74.2517252}"
180,Villani Bus Co,"811 E Linden Ave, Linden, NJ 07036, USA","{'lat': 40.637347, 'lng': -74.2423721}"
181,Vogel Bus Company Inc,"109 Aldene Rd #9, Roselle, NJ 07203, USA","{'lat': 40.65628600000001, 'lng': -74.2819361}"
182,Shore Vans Inc,"487 Hillside Ave # 4, Hillside, NJ 07205, USA","{'lat': 40.7028735, 'lng': -74.2372516}"
183,Jordan Transportation Inc,"284 Main St Ste A, Centerville, MA 02632, USA","{'lat': 41.6527491, 'lng': -70.3465079}"
184,Jordan Transportation,"290 Main St, Buffalo, NY 14202, USA","{'lat': 42.8820127, 'lng': -78.875756}"
185,Carpenter Bus Sales Inc,"1 Lake St, New Britain, CT 06052, USA","{'lat': 41.66871, 'lng': -72.7912395}"
186,Ted Dunn Inc,"195 County Road 519, Wantage, NJ 07461, USA","{'lat': 41.21163019999999, 'lng': -74.69829179999999}"
187,Decker Transportation Inc,"7 Vernon Crossing Rd, Vernon Township, NJ 07462, USA","{'lat': 41.2147652, 'lng': -74.4932692}"
188,D & M Tours Inc,"117 E 7th St, New York, NY 10009, USA","{'lat': 40.7265908, 'lng': -73.9843149}"
189,First Student Inc,"170 S Dean St, Englewood, NJ 07631, USA","{'lat': 40.888268, 'lng': -73.9785493}"
190,Scholastic Bus Co.,"93 Prospect Pl, Brooklyn, NY 11217, USA","{'lat': 40.6790775, 'lng': -73.9743968}"
191,"Student Transportation Of America, Inc.","3349 NJ-138 Unit C, Wall Township, NJ 07719, USA","{'lat': 40.1695759, 'lng': -74.0891247}"
192,Student Transportation Inc.,"3349 CA-138 Bldg A Suite, Pinon Hills, CA 92372, USA","{'lat': 34.4043279, 'lng': -117.5796657}"
193,Wehrle Bus Svc,"436 Matawan Ave, Cliffwood, NJ 07721, USA","{'lat': 40.434576, 'lng': -74.2279976}"
194,First Student Inc,"89 3rd Ave, New York, NY 10003, USA","{'lat': 40.7320885, 'lng': -73.98771359999999}"
195,Kinder Glide Inc,"1115 Green Grove Rd, Neptune City, NJ 07753, USA","{'lat': 40.2310037, 'lng': -74.0781113}"
196,Boonton Transport,"62 Water St #2, Brooklyn, NY 11201, USA","{'lat': 40.7030935, 'lng': -73.99161149999999}"
197,First Student Inc,"177 NJ-94, Blairstown, NJ 07825, USA","{'lat': 40.9797665, 'lng': -75.0024918}"
198,Byram Bus Line Inc,"19 Sparta Ct, Hopkins, SC 29061, USA","{'lat': 33.9570048, 'lng': -80.8772767}"
199,First Student Inc,"29 River Rd, Cos Cob, CT 06807, USA","{'lat': 41.0351458, 'lng': -73.5946306}"
200,First Student,"835 Watsontown Rd, Berlin, NJ 08009, USA","{'lat': 39.7828523, 'lng': -74.9460182}"
201,Holcomb Bus Svc Inc,"11 Karr Dr, Bellmawr, NJ 08031, USA","{'lat': 39.8687116, 'lng': -75.1176862}"
202,Holcomb Bus Svc,"11 Karr Dr, Bellmawr, NJ 08031, USA","{'lat': 39.8687116, 'lng': -75.1176862}"
203,Student Transportation Of America,"431 Corkery Ln, Williamstown, NJ 08094, USA","{'lat': 39.6696101, 'lng': -74.9962608}"
204,Safety Tour & Travel,"7200 Park Ave, North Bergen, NJ 07047, USA","{'lat': 40.793753, 'lng': -74.002032}"
205,Laurel Enterprises,"117 NB-530, Grande-Digue, NB E4R 4M2, Canada","{'lat': 46.2847128, 'lng': -64.5764271}"
206,B R Williams Inc,"127 Stockington Rd, Woodstown, NJ 08098, USA","{'lat': 39.5804174, 'lng': -75.3089433}"
207,Br Williams Inc,"127 Stockington Rd, Woodstown, NJ 08098, USA","{'lat': 39.5804174, 'lng': -75.3089433}"
208,Delaware Valley Box Lumber Co,"2651 E State St, Hamilton Township, NJ 08619, USA","{'lat': 40.2469974, 'lng': -74.71221640000002}"
209,Delaware Valley Box & Lbr Co,"2651 E State St, Hamilton Township, NJ 08619, USA","{'lat': 40.2469974, 'lng': -74.71221640000002}"
210,Briggs Transportation Svc,"508 Washington Ave, Elyria, OH 44035, USA","{'lat': 41.3744062, 'lng': -82.1069402}"
211,Farrell Transportation Inc,"2319 Bridge Ave, Point Pleasant, NJ 08742, USA","{'lat': 40.0731131, 'lng': -74.0734011}"
212,Barker Bus Company,"81 Chimney Rock Rd Ste A, Bridgewater Township, NJ 08807, USA","{'lat': 40.5640457, 'lng': -74.565074}"
213,Barker Bus Co,"81 Chimney Rock Rd STE 2, Bridgewater Township, NJ 08807, USA","{'lat': 40.5638491, 'lng': -74.5657167}"
214,Barker Bus Co,"81 Chimney Rock Rd Ste A, Bridgewater Township, NJ 08807, USA","{'lat': 40.5640457, 'lng': -74.565074}"
