NAME,FullAddress,Geocodes,ADDRESS,COUNTY,CITY,STATE,ZIP,WEBSITE
Dwight Common School Di...,801 S Columbia St LIVINGSTON Dwight IL 60420-1347,,801 S Columbia St,LIVINGSTON,Dwight,IL,60420-1347,DWIGHT.K12.IL.US
Community Consolidated ...,2905 MEADOW DR COOK Rolling Meadows IL 60008-1899,,2905 MEADOW DR,COOK,Rolling Meadows,IL,60008-1899,CCSD15.NET
Freeburg Community High...,401 S Monroe St ST CLAIR Freeburg IL 62243-1535,,401 S Monroe St,ST CLAIR,Freeburg,IL,62243-1535,FCHS77.ORG
West Chicago Elementary...,312 E Forest Ave DU PAGE West Chicago IL 60185-3528,,312 E Forest Ave,DU PAGE,West Chicago,IL,60185-3528,
Cowden-Herrick School D...,PO Box 188 SHELBY Cowden IL 62422-0188,,PO Box 188,SHELBY,Cowden,IL,62422-0188,COWDEN-HERRICK.K12.IL.US
Holy Cross School,1008 Jefferson St LA SALLE Mendota IL 61342-1550,,1008 Jefferson St,LA SALLE,Mendota,IL,61342-1550,HOLYCROSSMENDOTA.COM
Board of Education of T...,900 W Wilson Ave COOK Chicago IL 60640-5707,,900 W Wilson Ave,COOK,Chicago,IL,60640-5707,
Delavan Cmty Unit Sch D...,907 LOCUST TAZEWELL Delavan IL 61734,,907 LOCUST,TAZEWELL,Delavan,IL,61734,DELAVANSCHOOLS.COM
Board of Education of T...,821 E 103rd St COOK Chicago IL 60628-3003,,821 E 103rd St,COOK,Chicago,IL,60628-3003,CORLISS.CPS.K12.IL.US
Kaneland CUSD 302,817 Prairie Valley St KANE Elburn IL 60119-7105,,817 Prairie Valley St,KANE,Elburn,IL,60119-7105,
Cary Community Consolid...,2109 Crystal Lake Rd MC HENRY Cary IL 60013-1426,,2109 Crystal Lake Rd,MC HENRY,Cary,IL,60013-1426,CARY26.ORG
Skokie School District ...,9700 Crawford Ave COOK Skokie IL 60076-1106,,9700 Crawford Ave,COOK,Skokie,IL,60076-1106,SKOKIE68.ORG
Elmhurst Community Unit...,295 N Emroy Ave DU PAGE Elmhurst IL 60126-2468,,295 N Emroy Ave,DU PAGE,Elmhurst,IL,60126-2468,ELMHURST.K12.IL.US
Schaumburg CCSD #54,615 Lakeview Ln COOK Hoffman Estates IL 60169-3007,,615 Lakeview Ln,COOK,Hoffman Estates,IL,60169-3007,
Hannum Elem. School,8870 S Duffy Ave COOK Hometown IL 60456-1140,,8870 S Duffy Ave,COOK,Hometown,IL,60456-1140,D123.ORG
Board of Education of T...,1903 E 96th St COOK Chicago IL 60617-4797,,1903 E 96th St,COOK,Chicago,IL,60617-4797,
Lansing School District,2101 182nd St COOK Lansing IL 60438-1734,,2101 182nd St,COOK,Lansing,IL,60438-1734,D158.NET
Homewood Flossmoor Comm...,999 Kedzie Ave COOK Flossmoor IL 60422-2248,,999 Kedzie Ave,COOK,Flossmoor,IL,60422-2248,HFHIGHSCHOOL.ORG
Champaign Comm Unit Sch...,703 N State St CHAMPAIGN Champaign IL 61820-2912,,703 N State St,CHAMPAIGN,Champaign,IL,61820-2912,
Morton Community Unit S...,220 E Jefferson St TAZEWELL Morton IL 61550-2003,,220 E Jefferson St,TAZEWELL,Morton,IL,61550-2003,MORTON709.ORG
Coulterville Unit Schoo...,PO Box 396 RANDOLPH Coulterville IL 62237-0396,,PO Box 396,RANDOLPH,Coulterville,IL,62237-0396,
Board of Education of T...,7355 S Jeffery Blvd COOK Chicago IL 60649-3121,,7355 S Jeffery Blvd,COOK,Chicago,IL,60649-3121,
Community High School D...,1436 Norfolk St DU PAGE Downers Grove IL 60516,,1436 Norfolk St,DU PAGE,Downers Grove,IL,60516,CSD99.ORG
DuPage High School Dist...,2 Friendship Plz DU PAGE Addison IL 60101-2787,,2 Friendship Plz,DU PAGE,Addison,IL,60101-2787,DUPAGE88.NET
Jersey Community Unit S...,801 N State St JERSEY Jerseyville IL 62052-1107,,801 N State St,JERSEY,Jerseyville,IL,62052-1107,JERSEY100.K12.IL.US
Bement High School,201 S Champaign St PIATT Bement IL 61813-1512,,201 S Champaign St,PIATT,Bement,IL,61813-1512,BEMENT.K12.IL.US
Indian Springs School D...,8641 W 75th St COOK Justice IL 60458-1114,,8641 W 75th St,COOK,Justice,IL,60458-1114,ISD109.ORG
Cumberland School,302 N Mill St CUMBERLAND Greenup IL 62428-1062,,302 N Mill St,CUMBERLAND,Greenup,IL,62428-1062,CUMBERLAND.K12.IL.US
Albers School District ...,PO Box 400 CLINTON Germantown IL 62245-0400,,PO Box 400,CLINTON,Germantown,IL,62245-0400,GERMANTOWNBULLDOGS.ORG
Muffley Elementary Scho...,1499 W Main St MACON Decatur IL 62522-1909,,1499 W Main St,MACON,Decatur,IL,62522-1909,DPS61.ORG
Elmhurst Community Unit...,400 N West Ave DU PAGE Elmhurst IL 60126-2128,,400 N West Ave,DU PAGE,Elmhurst,IL,60126-2128,ELMHURST.K12.IL.US
Danville School Distric...,516 N Jackson St VERMILION Danville IL 61832-4677,,516 N Jackson St,VERMILION,Danville,IL,61832-4677,DANVILLE.K12.IL.US
Chicago Jesuit Academy,5058 W Jackson Blvd COOK Chicago IL 60644-4324,,5058 W Jackson Blvd,COOK,Chicago,IL,60644-4324,
Champaign Community Uni...,703 S New St CHAMPAIGN Champaign IL 61820-5818,,703 S New St,CHAMPAIGN,Champaign,IL,61820-5818,CHAMPAIGNSCHOOLS.ORG
St. Clair County Region...,800 Range Ln ST CLAIR East Saint Louis IL 62206-2022,,800 Range Ln,ST CLAIR,East Saint Louis,IL,62206-2022,
Crescent-Iroquois High ...,100 S Chestnut St IROQUOIS Onarga IL 60955-1208,,100 S Chestnut St,IROQUOIS,Onarga,IL,60955-1208,
Central A&M High School,229 E Pine St SHELBY Moweaqua IL 62550-1041,,229 E Pine St,SHELBY,Moweaqua,IL,62550-1041,CAM.K12.IL.US
Berean Baptist Church,5626 Safford Rd WINNEBAGO Rockford IL 61101-2259,,5626 Safford Rd,WINNEBAGO,Rockford,IL,61101-2259,BEREANSCHOOL.COM
Chicago Portfolio Schoo...,25 W Hubbard St COOK Chicago IL 60654,,25 W Hubbard St,COOK,Chicago,IL,60654,CHICAGOPORTFOLIO.COM
Burbank District 111,5900 W 81st St COOK Burbank IL 60459-1900,,5900 W 81st St,COOK,Burbank,IL,60459-1900,
All Star Cafe Llc,222 N JF Kennedy Dr DU PAGE Addison IL 60101-6602,,222 N JF Kennedy Dr,DU PAGE,Addison,IL,60101-6602,ASD4.ORG
Board Of Edcatn Of Cy S...,21462 N Richview Ln MARION Centralia IL 62801-8520,,21462 N Richview Ln,MARION,Centralia,IL,62801-8520,
Washington Office of Su...,501 E Erie St BUREAU Spring Valley IL 61362-2215,,501 E Erie St,BUREAU,Spring Valley,IL,61362-2215,SV99.ORG
Banning Unified School ...,2913 Elim Ave LAKE Zion IL 60099-3209,,2913 Elim Ave,LAKE,Zion,IL,60099-3209,ZION6.COM
Edinburg Community Unit...,100 E Martin St CHRISTIAN Edinburg IL 62531-9713,,100 E Martin St,CHRISTIAN,Edinburg,IL,62531-9713,EDINBURGSCHOOLS.NET
Lewis & Clark Elementar...,4200 Humbert Rd MADISON Alton IL 62002-7117,,4200 Humbert Rd,MADISON,Alton,IL,62002-7117,ALTONSCHOOLS.ORG
Chicago International C...,850 W Jackson Blvd Ste 275 COOK Chicago IL 60607-3049,,850 W Jackson Blvd Ste 275,COOK,Chicago,IL,60607-3049,AQS.ORG
Patoka Community Unit S...,1000 E 3rd St MARION Centralia IL 62801-3613,,1000 E 3rd St,MARION,Centralia,IL,62801-3613,CENTRALIAHS.ORG
Cary-Grove Community Hi...,2208 3 Oaks Rd MC HENRY Cary IL 60013-1627,,2208 3 Oaks Rd,MC HENRY,Cary,IL,60013-1627,
Highland Community Unit...,PO Box 149 MADISON Highland IL 62249-0149,,PO Box 149,MADISON,Highland,IL,62249-0149,HIGHLANDCUSD5.ORG
"McDonald, Strickland & ...",412 Oregon St MACOUPIN Gillespie IL 62033-1174,,412 Oregon St,MACOUPIN,Gillespie,IL,62033-1174,
"Little Friends, Inc.",140 N Wright St DU PAGE Naperville IL 60540-4748,,140 N Wright St,DU PAGE,Naperville,IL,60540-4748,LITTLEFRIENDSINC.COM
Fox River Country Day S...,1600 Dundee Ave Null KANE Elgin IL 60120-1608,,1600 Dundee Ave Null,KANE,Elgin,IL,60120-1608,FRCDS.ORG
Ball Chatham Cmty Unit ...,201 W Mulberry St SANGAMON Chatham IL 62629-1329,,201 W Mulberry St,SANGAMON,Chatham,IL,62629-1329,CHATHAMSCHOOLS.ORG
Lincoln School,801 Springfield Rd TAZEWELL East Peoria IL 61611,,801 Springfield Rd,TAZEWELL,East Peoria,IL,61611,EPD86.ORG
Community Unit School D...,605 6th Ave WHITESIDE Erie IL 61250-9452,,605 6th Ave,WHITESIDE,Erie,IL,61250-9452,ERIE1.INFO
Catholic Charities of B...,203 N Ottawa St WILL Joliet IL 60432-4006,,203 N Ottawa St,WILL,Joliet,IL,60432-4006,CC-DOJ.ORG
Evanston/Skokie School ...,910 Forest Ave COOK Evanston IL 60202-1474,,910 Forest Ave,COOK,Evanston,IL,60202-1474,
Board of Education of T...,3810 W 81st Pl COOK Chicago IL 60652-2400,,3810 W 81st Pl,COOK,Chicago,IL,60652-2400,DAWES.CPS.K12.IL.US
The Frances Xavier Ward...,120 S Desplaines St COOK Chicago IL 60661-3519,,120 S Desplaines St,COOK,Chicago,IL,60661-3519,FXW.ORG
Board of Education of T...,3601 N Milwaukee Ave COOK Chicago IL 60641-3033,,3601 N Milwaukee Ave,COOK,Chicago,IL,60641-3033,SCHURZHS.ORG
Wilmette Public Schools...,615 Locust Rd COOK Wilmette IL 60091-2237,,615 Locust Rd,COOK,Wilmette,IL,60091-2237,
"LightEdge Solutions, In...",1206 Franklin St JO DAVIESS Galena IL 61036-1317,,1206 Franklin St,JO DAVIESS,Galena,IL,61036-1317,GUSD120.K12.IL.US
Community Unit School D...,17268 E 2750 North Rd VERMILION Bismarck IL 61814-5130,,17268 E 2750 North Rd,VERMILION,Bismarck,IL,61814-5130,BISMARCK.K12.IL.US
Herrin Cmty School Dist...,500 N 10th St WILLIAMSON Herrin IL 62948-3335,,500 N 10th St,WILLIAMSON,Herrin,IL,62948-3335,HERRINUNIT.ORG
Norridge School Distric...,8151 W Lawrence Ave COOK Norridge IL 60706-3110,,8151 W Lawrence Ave,COOK,Norridge,IL,60706-3110,NORRIDGE80.ORG
Board of Education of T...,125 S Clark St 6th Fl COOK Chicago IL 60603-4016,,125 S Clark St 6th Fl,COOK,Chicago,IL,60603-4016,
"Morris, Illinois",725 School St GRUNDY Morris IL 60450,,725 School St,GRUNDY,Morris,IL,60450,GCSEC.MORNET.ORG
Clarence E. Culver Scho...,6901 W Oakton St COOK Niles IL 60714-3024,,6901 W Oakton St,COOK,Niles,IL,60714-3024,
Bond Co Cmty Unit Sch D...,189 E Court St Ste 600 KANKAKEE Kankakee IL 60901-3841,,189 E Court St Ste 600,KANKAKEE,Kankakee,IL,60901-3841,I-KAN.ORG
Township High School Di...,1000 S Quentin Rd COOK Palatine IL 60067-7018,,1000 S Quentin Rd,COOK,Palatine,IL,60067-7018,FHS.D211.ORG
Vermilion,7087 N 600 East Rd VERMILION Sidell IL 61876-6515,,7087 N 600 East Rd,VERMILION,Sidell,IL,61876-6515,
Tinley Park Cmty Cons S...,6611W 171st St COOK Tinley Park IL 60477-3514,,6611W 171st St,COOK,Tinley Park,IL,60477-3514,DISTRICT146.ORG
Community Consolidated ...,6611 171st St COOK Tinley Park IL 60477-3514,,6611 171st St,COOK,Tinley Park,IL,60477-3514,DISTRICT146.ORG
McFarland Sch Dist,807 W Columbia Ter PEORIA Peoria IL 61606-1334,,807 W Columbia Ter,PEORIA,Peoria,IL,61606-1334,PSD150.ORG/FRANKLIN
A C Thompson Elementary...,1500 Charles St WINNEBAGO Rockford IL 61104-2310,,1500 Charles St,WINNEBAGO,Rockford,IL,61104-2310,RPS205.COM
Anthonys Fish Grotto,1 Warrior Way MENARD Athens IL 62613-9795,,1 Warrior Way,MENARD,Athens,IL,62613-9795,
Mary Miller Junior High...,920 Smith Dr COLES Charleston IL 61920-2913,,920 Smith Dr,COLES,Charleston,IL,61920-2913,CHARLESTON.K12.IL.US
Muffley Elementary Scho...,300 MEADOW TERRACE MACON Decatur IL 62521-5295,,300 MEADOW TERRACE,MACON,Decatur,IL,62521-5295,
McClellan Grade School,20941 E Divide Rd JEFFERSON Bluford IL 62814-2402,,20941 E Divide Rd,JEFFERSON,Bluford,IL,62814-2402,
Bradley-Bourbonnais Hig...,700 W North St KANKAKEE Bradley IL 60915-1013,,700 W North St,KANKAKEE,Bradley,IL,60915-1013,BBCHS.ORG
Heritage Christian Scho...,1200 Jefferson St OGLE Oregon IL 61061-1531,,1200 Jefferson St,OGLE,Oregon,IL,61061-1531,
Board of Education of T...,10309 S Morgan St COOK Chicago IL 60643-3096,,10309 S Morgan St,COOK,Chicago,IL,60643-3096,
Prosser Economic Develo...,2148 N Long Ave COOK Chicago IL 60639-2914,,2148 N Long Ave,COOK,Chicago,IL,60639-2914,PROSSER.ORG
Eisenhower Jr High Scho...,617 Boxwood Dr COOK Schaumburg IL 60193-2713,,617 Boxwood Dr,COOK,Schaumburg,IL,60193-2713,
Wilmington Community Un...,1910 Bruning Dr WILL Wilmington IL 60481-1710,,1910 Bruning Dr,WILL,Wilmington,IL,60481-1710,WILMINGTON.WILL.K12.IL.US
Board of Education of T...,4127 W Hirsch St COOK Chicago IL 60651-1806,,4127 W Hirsch St,COOK,Chicago,IL,60651-1806,
Rockford Public School ...,4949 Marion Ave WINNEBAGO Rockford IL 61108-6534,,4949 Marion Ave,WINNEBAGO,Rockford,IL,61108-6534,RPS205.COM
Gower School District 6...,7700 Clarendon Hills Rd DU PAGE Willowbrook IL 60527-2426,,7700 Clarendon Hills Rd,DU PAGE,Willowbrook,IL,60527-2426,GOWER62.COM
Downers Grove Grade Sch...,3935 Belle Aire Ln DU PAGE Downers Grove IL 60515-1926,,3935 Belle Aire Ln,DU PAGE,Downers Grove,IL,60515-1926,
